id,parent_id/id,code,name,type,
2301001,2301,2301001,P.Suryanata,normal,P.Suryanata
2302,23,2302,Balikpapan,view,
2302001,2302,2302001,Sepinggan,normal,Sepinggan
2303,23,2303,Berau,view,
2303001,2303,2303001,Berau1,normal,Berau1
24,,24,Kalimantan Utara,view,
2401,24,2401,Tarakan,view,
2401001,2401,2401001,Kampung Bugis,normal,Kampung Bugis
25,,25,Sulawesi Utara,view,
2501,25,2501,Manado,view,
2501001,2501,2501001,Tuminting,normal,Tuminting
26,,26,Sulawesi Barat,view,
2601,26,2601,Mamuju,view,
2601001,2601,2601001,Mamuju1,normal,Mamuju1
27,,27,Sulawesi Tengah,view,
2701,27,2701,Palu,view,
2701001,2701,2701001,Rajawali,normal,Rajawali
28,,28,Sulawesi Tenggara,view,
2801,28,2801,Kendari,view,
2801001,2801,2801001,RA.Kartini,normal,RA.Kartini
29,,29,Sulawesi Selatan,view,
2901,29,2901,Makassar,view,
Makasar01,2901,2901001,Pelita Raya,normal,Pelita Raya
30,,30,Gorontalo,view,
3001,30,3001,Gorontalo,view,
3001001,3001,3001001,Beringin,normal,Beringin
31,,31,Maluku,view,
3101,31,3101,Ambon,view,
3101001,3101,3101001,Ambon1,normal,Ambon1
32,,32,Maluku Utara,view,
3201,32,3201,Ternate,view,
3201001,3201,3201001,Bastiong Talangame,normal,Bastiong Talangame
33,,33,Papua Barat,view,
3301,33,3301,Manokwari,view,
3301001,3301,3301001,Trikora Rendani,normal,Trikora Rendani
34,,34,Papua,view,
3401,34,3401,Jayapura,view,
3401001,3401,3401001,Youmakhe,normal,Youmakhe
35,,35,Operasional Pusat,view,
3501001,35,3501001,Operasional Pusat,normal,Operasional Pusat
36,,36,Kantor Pusat,view,
Roxy01,36,3601001,Kantor Pusat,normal,Kantor Pusat
